v,v0,rc,wc,rc0,wc0,v1,rc1,wc1,v2,rc2,wc2
6.08787E-10,7.85398E-10,1,,,1,7.85398E-10,1,0,7.85398E-10,,1
6.21058E-10,7.85398E-10,,1,1,,7.85398E-10,,1,7.85398E-10,1,
7.36588E-10,7.85398E-10,1,,1,,7.85398E-10,,1,7.85398E-10,1,
7.85398E-10,7.85398E-10,,1,1,,7.85398E-10,,1,7.85398E-10,1,
7.85398E-10,7.85398E-10,1,,,1,7.85398E-10,,1,7.85398E-10,,1
7.85398E-10,7.85398E-10,,1,1,,7.85398E-10,,1,7.85398E-10,1,0
7.85398E-10,7.85398E-10,,1,1,,7.85398E-10,1,0,7.85398E-10,1,0
7.85398E-10,7.85398E-10,,1,,1,7.85398E-10,,1,7.85398E-10,,1
7.85398E-10,7.85398E-10,1,,1,,7.85398E-10,,1,7.85398E-10,,1
7.85398E-10,5.02655E-08,,1,,1,6.28319E-09,,1,8.91039E-10,,1
7.85398E-10,9.73348E-10,,1,1,,9.94297E-10,,1,9.73348E-10,1,0
7.85398E-10,9.53887E-10,1,,1,,9.32938E-10,,1,9.53887E-10,,1
7.87164E-10,8.92528E-10,1,,1,,8.92528E-10,1,0,8.92528E-10,1,0
8.31169E-10,8.31169E-10,,1,1,,8.31169E-10,1,0,8.31169E-10,,1
8.91039E-10,7.36588E-10,1,,1,,7.36588E-10,,1,7.36588E-10,,1
8.92528E-10,7.85398E-10,,1,1,,7.85398E-10,1,0,7.85398E-10,,1
9.19433E-10,6.08787E-10,,1,,1,6.08787E-10,1,0,6.08787E-10,,1
9.31704E-10,7.87164E-10,1,,1,,7.87164E-10,1,0,7.87164E-10,,1
9.32321E-10,9.32321E-10,,1,,1,9.32321E-10,,1,9.20049E-10,1,0
9.53887E-10,1.04426E-09,,1,1,,1.04426E-09,,1,1.02331E-09,,1
9.94297E-10,1.13524E-09,1,,,1,1.13524E-09,1,0,1.11429E-09,,1
1.02269E-09,1.20528E-09,,1,1,,1.20528E-09,,1,1.20528E-09,,1
1.04426E-09,1.27532E-09,,1,,1,1.27532E-09,1,0,1.27532E-09,,1
1.08554E-09,1.28399E-09,,1,,1,1.28399E-09,1,0,1.28399E-09,,1
1.09273E-09,1.25586E-09,1,,1,,1.25586E-09,1,0,1.25586E-09,,1
1.13524E-09,1.23999E-09,,1,1,,1.23999E-09,,1,1.23999E-09,1,0
1.14181E-09,1.1909E-09,,1,,1,1.1909E-09,,1,1.1909E-09,,1
1.17652E-09,1.14181E-09,1,,,1,1.14181E-09,,1,1.14181E-09,1,0
1.1909E-09,1.09273E-09,,1,1,,1.09273E-09,1,0,1.09273E-09,,1
1.20528E-09,1.00174E-09,1,,,1,1.00174E-09,,1,1.00174E-09,,1
1.23999E-09,9.31704E-10,1,,,1,9.31704E-10,,1,9.31704E-10,,1
1.25586E-09,9.52654E-10,,1,,1,9.52654E-10,,1,9.31704E-10,1,0
1.27532E-09,1.06459E-09,,1,,1,1.06459E-09,,1,1.06459E-09,,1
1.27619E-09,1.17652E-09,,1,,1,1.19747E-09,,1,1.17652E-09,,1
1.28399E-09,1.27619E-09,,1,1,,1.27619E-09,,1,1.27619E-09,,1
1.29091E-09,1.3549E-09,1,,1,,1.3549E-09,1,0,1.3549E-09,,1
1.31674E-09,1.41267E-09,,1,,1,1.41267E-09,,1,1.41267E-09,1,0
1.3549E-09,1.47043E-09,,1,,1,1.47043E-09,,1,1.47043E-09,,1
1.41267E-09,1.51952E-09,,1,1,,1.51952E-09,1,0,1.51952E-09,1,0
1.44707E-09,1.55634E-09,,1,1,,1.55634E-09,1,0,1.55634E-09,1,0
1.47043E-09,1.58088E-09,,1,1,,1.58088E-09,1,0,1.58088E-09,,1
1.49873E-09,1.66787E-09,,1,1,,1.66787E-09,,1,1.66787E-09,,1
1.51952E-09,1.72559E-09,,1,1,,1.72559E-09,,1,1.72559E-09,,1
1.55634E-09,1.7833E-09,,1,,1,1.7833E-09,,1,1.7833E-09,,1
1.5774E-09,1.84101E-09,1,,1,,1.84101E-09,1,0,1.84101E-09,1,0
1.58088E-09,1.87188E-09,,1,,1,1.87188E-09,,1,1.87188E-09,,1
1.65489E-09,1.7864E-09,,1,,1,1.7864E-09,,1,1.7864E-09,,1
1.66787E-09,1.6819E-09,1,,,1,1.6819E-09,1,0,1.6819E-09,,1
1.6819E-09,1.5774E-09,,1,1,,1.5774E-09,,1,1.5774E-09,,1
1.72559E-09,1.44707E-09,,1,,1,1.44707E-09,,1,1.44707E-09,,1
1.77594E-09,1.29091E-09,1,,1,,1.29091E-09,,1,1.29091E-09,1,0
1.7833E-09,1.31674E-09,,1,1,,1.31674E-09,1,0,1.31674E-09,,1
1.7864E-09,1.49873E-09,1,,1,,1.49873E-09,,1,1.49873E-09,1,0
1.80429E-09,1.65489E-09,1,,1,,1.65489E-09,1,0,1.65489E-09,,1
1.81106E-09,1.81106E-09,1,,,1,1.81106E-09,1,0,1.81106E-09,,1
1.84101E-09,1.94139E-09,,1,1,,1.94139E-09,,1,1.94139E-09,1,0
1.87188E-09,2.03689E-09,1,,,1,2.03689E-09,,1,2.03689E-09,,1
1.93014E-09,2.06604E-09,,1,1,,2.06604E-09,,1,2.06604E-09,,1
1.94139E-09,2.06201E-09,,1,,1,2.04546E-09,,1,2.06201E-09,,1
1.95912E-09,2.04143E-09,1,,1,,2.04143E-09,1,0,2.04143E-09,1,0
1.98683E-09,2.01056E-09,1,,,1,2.03741E-09,,1,2.01056E-09,1,0
1.98998E-09,1.98998E-09,,1,,1,1.98998E-09,,1,2.01683E-09,,1
1.99625E-09,1.95912E-09,,1,,1,1.95912E-09,,1,1.95912E-09,,1
2.01056E-09,1.99625E-09,1,,,1,1.99625E-09,,1,1.99625E-09,,1
2.03517E-09,2.0808E-09,,1,,1,2.0808E-09,,1,2.05396E-09,1,0
2.03689E-09,2.10138E-09,,1,,1,2.10138E-09,,1,2.10138E-09,,1
2.04143E-09,2.34616E-09,1,,1,,2.34616E-09,1,0,2.34616E-09,,1
2.05599E-09,2.3096E-09,,1,,1,2.3096E-09,,1,2.3096E-09,,1
2.06604E-09,2.28431E-09,,1,1,,2.28431E-09,1,0,2.25475E-09,,1
2.0808E-09,2.23733E-09,1,,,1,2.23733E-09,,1,2.23733E-09,,1
2.10138E-09,2.22384E-09,,1,,1,2.22384E-09,1,0,2.22384E-09,,1
2.1756E-09,2.23316E-09,,1,,1,2.23316E-09,,1,2.23316E-09,,1
2.21967E-09,2.21967E-09,,1,,1,2.21967E-09,,1,2.21967E-09,1,0
2.22384E-09,2.05599E-09,1,,1,,2.05599E-09,,1,2.05599E-09,1,0
2.23316E-09,1.93014E-09,,1,,1,1.93014E-09,1,0,1.93014E-09,,1
2.23733E-09,1.77594E-09,,1,,1,1.77594E-09,,1,1.77594E-09,,1
2.28431E-09,1.80429E-09,1,,1,,1.80429E-09,,1,1.80429E-09,,1
2.30832E-09,1.95848E-09,,1,,1,1.98683E-09,1,0,1.95848E-09,,1
2.3096E-09,2.1756E-09,,1,,1,2.1756E-09,,1,2.20394E-09,1,0
2.34616E-09,2.30832E-09,1,,1,,2.30832E-09,,1,2.30832E-09,,1
2.35135E-09,2.35135E-09,,1,1,,2.35135E-09,,1,2.35135E-09,,1
2.39438E-09,2.39438E-09,,1,,1,2.39438E-09,,1,2.40112E-09,1,0
2.41461E-09,2.41461E-09,,1,,1,2.41461E-09,,1,2.41461E-09,1,0
2.43201E-09,2.53914E-09,,1,,1,2.53914E-09,1,0,2.53914E-09,,1
2.47096E-09,2.66955E-09,,1,,1,2.63888E-09,,1,2.66955E-09,,1
2.53914E-09,2.67567E-09,,1,1,,2.67567E-09,,1,2.67567E-09,,1
2.57271E-09,2.64127E-09,,1,,1,2.64127E-09,,1,2.64127E-09,,1
2.61165E-09,2.66533E-09,,1,,1,2.65796E-09,,1,2.65796E-09,1,0
2.63888E-09,2.61165E-09,,1,,1,2.61165E-09,1,0,2.61165E-09,,1
2.64127E-09,2.47096E-09,1,,1,,2.47096E-09,1,0,2.47096E-09,,1
2.65796E-09,2.43201E-09,,1,,1,2.50236E-09,,1,2.40061E-09,,1
2.67567E-09,2.57271E-09,,1,,1,2.57271E-09,1,0,2.57271E-09,,1
2.70744E-09,2.73041E-09,,1,,1,2.73041E-09,1,0,2.73041E-09,1,0
2.73041E-09,2.77819E-09,,1,,1,2.77819E-09,,1,2.77819E-09,1,0
2.74547E-09,2.8393E-09,,1,,1,2.8393E-09,1,0,2.8393E-09,,1
2.77438E-09,2.83199E-09,1,,,1,2.83199E-09,1,0,2.83199E-09,,1
2.77819E-09,2.84268E-09,,1,,1,2.84268E-09,,1,2.84268E-09,,1
2.79098E-09,2.70744E-09,,1,,1,2.70744E-09,1,0,2.70744E-09,,1
2.83199E-09,2.74547E-09,,1,,1,2.74547E-09,,1,2.74547E-09,,1
2.8393E-09,2.79098E-09,,1,,1,2.79098E-09,,1,2.79098E-09,,1
2.84268E-09,2.77438E-09,,1,1,,2.77438E-09,,1,2.77438E-09,1,0
